Event ID,Actual Year,Date / Period,Location / Pond-Tank-Pen,Event Category,Mortality Event? (Y/N),Cause Description,Population Affected (denominator),Number/Percent Lost (as reported),"% Lost (best estimate, numeric)",Confidence,Severity Tier
E17,2023,"April 13-Sept 27, 2023 (worst Jul-Aug)","UKL net pens, Four Mile Canal, Agency Lake (UKLW & UKLE)",water_quality,Y,"Anoxic conditions Jul-Sep, compounded by parasites, disease, secondary bacterial/hemorrhagic infection, and competition/crowding with fathead minnows and blue chubs","2,006 age-1+ suckers stocked (1,005 UKLW + 1,001 UKLE, 2021 year class)",Only 60 fish recovered at harvest: 2.9% (UKLW) and 3.1% (UKLE) survival (~97% loss),97.0%,Quantified,Catastrophic (>70% loss)
E18,2023,"April 21-Sept 26, 2023",Gerber Reservoir East net pen (GERE),equipment,N,"Two small holes (<1-2 ft diameter) found in net at harvest, allowing fish to escape","1,005 age-1+ suckers stocked in GERE (2021 year class)","Escape, not mortality: only 454 harvested = 45.2% apparent survival vs 96.5% in adjacent GERW pen (~554 fish unaccounted); FY2024 report separately cites up to 437 LRS + 114 SNS escaped (551 total) - the two figures are consistent within rounding",54.8%,"Estimated (apparent, not confirmed mortality)",Non-mortality (escape/collection/reproductive)
E19,2023,Spring 2023 (Apr-May egg incubation),Greenhouse RAS Research Racks (egg incubation),water_quality,Y,Geothermal water-supply quality limitations; unstable rearing temperatures fluctuating 5-6C daily,"Wild East Side Springs LRS eggs (73,869 collected/transferred) - EGG stage, not juvenile/adult","Only 18,604 fry hatched: ~25.2% hatching success (~74.8% egg-stage loss)",74.8%,Quantified,Catastrophic (>70% loss)
E20,2023,Early May 2023,Captive broodstock ponds (SNS spawning attempt),other,N,Reproductive failure attributed to poor body condition from high rearing densities the prior year,"SNS captive broodstock (CY2017 cohort, ~30 fish sampled/week over 2 weeks)","Not a mortality event: 0 females ovulated/released ripe eggs across all sampling weeks; male milt volume <1-2mL, motility <50%",,"Not applicable (reproductive failure, not fish death)",Non-mortality (escape/collection/reproductive)
E21,2023,Spring 2023 (May 8-Jun 12 collection window),Lower Williamson River (wild larval collection),weather,N,"Late/colder-than-normal spring, high flows/turbidity, rapid warm/cool swings, low adult return","Wild drifting larval suckers (collection target 40,000-50,000)","Not a mortality event: only 6,036 larvae collected (lowest on record); drift netting caught <50 fish total - a collection-efficiency shortfall",,"Not applicable (collection efficiency, not mortality)",Non-mortality (escape/collection/reproductive)
E22,2024,Mid-to-late August 2024,Ponds P12 and P13 (fingerling ponds),water_quality,Y,Unusually cool water temperatures caused algae-bloom crashes -> lethal early-morning DO; exacerbated by pond-space crowding,"CY2024 cohort (P12 stocked 3,027 fish 5/28/24; P13 stocked 3,012 fish 5/20/24; 6,039 total)","""Several thousand fish"" lost between both ponds (acute) plus additional chronic losses afterward; explicitly described as worse than any prior year - no exact count given, so a range of roughly 30-65% of the 6,039 stocked is a rough order-of-magnitude read of ""several thousand,"" not a reported figure",45.0%,"Estimated (qualitative magnitude only - ""several thousand"" not a precise count)",Major (30-70% loss)
E23,2024,"Spring-Summer 2024 (~3 month intensive rearing, May 8-Jul)",Salvage Building isolation/rearing tanks,disease,Y,"Costia (ectoparasite) infections during extended intensive tank rearing, worsened by prolonged holding due to lack of pond space","Wild-caught larval LRS/SNS from Williamson River (30,150 total collected)","2,876 fish observed mortality = 9.5% of total stock (partly Costia-attributed)",9.5%,Quantified (observed mortality only - see E24 for separately-tracked unobserved loss),Minor (<10% loss)
E24,2024,Spring-Summer 2024 (same larval rearing period),Salvage Building tanks,other,Y,"Cumulative unaccounted/unobserved mortality, attributed by staff to ""cumulative human error"" the longer fish are held intensively in tanks","Wild-caught larval suckers held in tanks pending pond space (30,150 collected)",Unobserved mortality = 23.0% of the entire collection stock,23.0%,Quantified,Moderate (10-30% loss)
E25,2024,Mid-Sept through early Nov 2024,"Net pen at Four Mile Canal, Agency Lake (holdover from Lower Klamath Refuge Ponds)",disease,Y,Bacterial infection spread early in the holding period during a joint USGS/USFWS acoustic telemetry study,Juvenile suckers held over from Lower Klamath Refuge Ponds plus a late-Sept supplemental stocking,Overall survival for the holding period was 45% (~55% mortality),55.0%,Quantified,Major (30-70% loss)
E26,2024,"Jun 25-Aug 14, 2024 (gap); late Aug 2024 (DO excursion)",Gerber Reservoir net pens (west pen sonde),equipment,N,"Continuous water-quality sonde malfunctioned, creating a ~7-week monitoring gap; when monitoring resumed, late-Aug DO dropped below 4 mg/L threshold (lowest 2.99 mg/L)","Shortnose Suckers held in Gerber net pens (GERE/GERW, 2022 cohort)","No mortality attributed (""no sucker mortalities were observed"")",0.0%,Quantified (near-miss),Near-miss (no mortality observed)
E27,2024,July 23-mid-Sept 2024,Gerber Reservoir net pens,water_quality,N,Cyanobacteria bloom detected (water turned light brown/turbid); no toxins found on analysis,Shortnose Suckers held in Gerber net pens,No mortality attributed,0.0%,Quantified (near-miss),Near-miss (no mortality observed)
E28,2024,"July 27, 2024","Gerber net pen, GERE",other,N,Unexplained mortality of non-target species (perch); cause/disease not identified; no impact to target suckers,Non-target fish (~30mm perch) incidentally in net pen; suckers unaffected,3 small perch found dead; NO sucker mortality,,"Not applicable (non-target species, no sucker impact)",Non-mortality (escape/collection/reproductive)
